trial,yield,mse,active_ingredient,year,spray
102,2651.05,13621.1523,pico_cypr,2009,2
102,2612.83,13621.1523,pyra_epox,2009,2
102,2670.03,13621.1523,azox_cypr,2009,2
102,1652.16,13621.1523,tebu,2009,2
103,480.88,115418.0887,check,2009,3
103,1544.73,115418.0887,pico_cypr,2009,3
103,1530.78,115418.0887,pyra_epox,2009,3
103,1514.38,115418.0887,azox_cypr,2009,3
103,970.08,115418.0887,tebu,2009,3
104,1995.95,71984.0954,check,2009,2
104,2479.08,71984.0954,pico_cypr,2009,2
104,2814.98,71984.0954,pyra_epox,2009,2
104,2800.53,71984.0954,azox_cypr,2009,2
104,2428.17,71984.0954,tebu,2009,2
105,3527.73,98257.9733,check,2009,2
105,3834.73,98257.9733,pico_cypr,2009,2
105,3791.80,98257.9733,pyra_epox,2009,2
105,3522.03,98257.9733,azox_cypr,2009,2
105,3583.33,98257.9733,tebu,2009,2
106,1121.70,43355.9920,check,2009,3
106,2437.60,43355.9920,pico_cypr,2009,3
106,2134.48,43355.9920,pyra_epox,2009,3
106,2293.33,43355.9920,azox_cypr,2009,3
106,1888.92,43355.9920,tebu,2009,3
107,2431.70,82876.3180,check,2009,2
107,3338.10,82876.3180,pico_cypr,2009,2
107,3340.40,82876.3180,pyra_epox,2009,2
107,3111.35,82876.3180,azox_cypr,2009,2
107,2957.78,82876.3180,tebu,2009,2
108,1422.65,8032.9503,check,2009,2
108,2270.63,8032.9503,pico_cypr,2009,2
108,2356.38,8032.9503,pyra_epox,2009,2
108,2324.18,8032.9503,azox_cypr,2009,2
108,2147.48,8032.9503,tebu,2009,2
109,1931.25,9764.7971,check,2009,2
109,2553.50,9764.7971,pico_cypr,2009,2
109,2627.80,9764.7971,pyra_epox,2009,2
109,2659.00,9764.7971,azox_cypr,2009,2
109,2395.45,9764.7971,tebu,2009,2
110,745.00,21967.6649,check,2009,3
110,1305.00,21967.6649,pico_cypr,2009,3
110,1215.00,21967.6649,pyra_epox,2009,3
110,1382.50,21967.6649,azox_cypr,2009,3
110,890.83,21967.6649,tebu,2009,3
111,2007.88,210724.1712,check,2009,2
111,2627.80,210724.1712,pico_cypr,2009,2
111,3224.63,210724.1712,pyra_epox,2009,2
111,2879.60,210724.1712,azox_cypr,2009,2
111,2585.18,210724.1712,tebu,2009,2
112,1453.13,63611.7518,check,2009,2
112,2421.88,63611.7518,pico_cypr,2009,2
112,2458.35,63611.7518,pyra_epox,2009,2
112,2317.70,63611.7518,azox_cypr,2009,2
112,2059.00,63611.7518,tebu,2009,2
113,2171.83,49180.8154,check,2009,
113,2296.23,49180.8154,pico_cypr,2009,
113,2255.83,49180.8154,pyra_epox,2009,
113,2121.40,49180.8154,azox_cypr,2009,
113,2062.34,49180.8154,tebu,2009,
114,3359.15,105709.1149,check,2009,3
114,3637.43,105709.1149,trif_prot,2009,3
114,3762.58,105709.1149,pyra_metc,2009,3
114,3532.05,105709.1149,azox_cypr,2009,3
114,3319.30,105709.1149,tebu,2009,3
115,2659.80,67398.0069,check,2009,3
115,3390.83,67398.0069,trif_prot,2009,3
115,3337.30,67398.0069,pyra_metc,2009,3
115,3235.88,67398.0069,azox_cypr,2009,3
115,2975.43,67398.0069,tebu,2009,3
116,2345.50,65858.4647,check,2009,2
116,3452.15,65858.4647,trif_prot,2009,2
116,3142.45,65858.4647,pyra_metc,2009,2
116,3472.05,65858.4647,azox_cypr,2009,2
116,2830.65,65858.4647,tebu,2009,2
117,1870.50,69683.0604,check,2009,2
117,2508.00,69683.0604,trif_prot,2009,2
117,2670.00,69683.0604,pyra_metc,2009,2
117,2605.50,69683.0604,azox_cypr,2009,2
117,2413.50,69683.0604,tebu,2009,2
118,2205.00,51785.7714,check,2009,3
118,3598.50,51785.7714,trif_prot,2009,3
118,3375.00,51785.7714,pyra_metc,2009,3
118,3556.50,51785.7714,azox_cypr,2009,3
118,3217.50,51785.7714,tebu,2009,3
119,2485.08,69690.9849,check,2009,3
119,3228.28,69690.9849,trif_prot,2009,3
119,2806.10,69690.9849,pyra_metc,2009,3
119,2978.85,69690.9849,azox_cypr,2009,3
119,3037.18,69690.9849,tebu,2009,3
120,4154.05,142727.9079,check,2009,2
120,4643.15,142727.9079,trif_prot,2009,2
120,5004.48,142727.9079,pyra_metc,2009,2
120,4972.70,142727.9079,azox_cypr,2009,2
120,4643.05,142727.9079,tebu,2009,2
121,3877.40,109846.1278,check,2009,2
121,4772.65,109846.1278,trif_prot,2009,2
121,4331.40,109846.1278,pyra_metc,2009,2
121,4786.28,109846.1278,azox_cypr,2009,2
121,4114.93,109846.1278,tebu,2009,2
122,1589.85,135575.4818,check,2009,3
122,3517.75,135575.4818,trif_prot,2009,3
122,3155.63,135575.4818,pyra_metc,2009,3
122,2927.28,135575.4818,azox_cypr,2009,3
122,2687.83,135575.4818,tebu,2009,3
123,1533.83,83770.0729,check,2009,2
123,2194.80,83770.0729,trif_prot,2009,2
123,1974.25,83770.0729,pyra_metc,2009,2
123,1918.38,83770.0729,azox_cypr,2009,2
123,1866.85,83770.0729,tebu,2009,2
124,2010.50,43377.2087,check,2009,
124,2787.33,43377.2087,trif_prot,2009,
124,2639.48,43377.2087,pyra_metc,2009,
124,2382.70,43377.2087,azox_cypr,2009,
